Distance,Elevation,Land Cover
0,211,Sand
30,208,Vegetation
60,205,Channel
90,202,Channel
120,201,Channel
150,201,Channel
180,201,Channel
210,201,Channel
240,201,Channel
270,201,Channel
300,201,Channel
330,205,Channel
360,208,Vegetation
390,211,Vegetation
420,215,Sand
